label,cfg_path,station_name,relay_model,voltage_kv,protection_type,zone_operated,trip_type,faulted_phases,fault_type,is_ground_fault,reclose_attempted,reclose_successful,reclose_time_ms,fault_count,fault_duration_ms,fault_inception_ms,di_dt_max,di_dt_phase,peak_fault_current_a,peak_fault_phase,i0_i1_ratio,thd_percent,inception_angle_degrees,voltage_sag_depth_pu,voltage_sag_phase,r_x_ratio,z_magnitude_ohms,z_angle_degrees,sampling_rate_hz,record_duration_ms,teleprotection_rx,comms_failure,scaling_ok,duration_ok
LAYANG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\01. JANUARI\20220109 Reakaman CGRLG - CBREM 2 LAYANG LAYANG\20220109 Reakaman CGRLG - CBREM 2\20220109_124053_239_r113_MANUAL_CGRLG_CBREM2_Distance.cfg,GI CIGERELENG,1,150.0,DISTANCE,Z1,three_pole,A+B,LL,False,True,,993.2609796524048,2,100.456,973.7,6486074.571354251,A,21672.900390625,A,0.013406359504868667,7.404237244983766,332.0630345236236,0.4842737903612716,B,9.335072558737329,3.0130356179748663,6.11437281309498,2398.0815,3001.923,True,False,True,True
LAYANG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\01. JANUARI\20220109 Reakaman CGRLG - CBREM 2 LAYANG LAYANG\20220109 Reakaman CGRLG - CBREM 2\DISTANCE CBREM - CGRLG 2\1\DR\Sunday 09 January 2022 11.53.09.000.CFG,GI CIBEUREUM,1,150.0,DISTANCE,Z1,three_pole,A+B,LL,False,True,,,1,99.37394,949.51,937845.2829831021,B,13137.6865234375,A,0.12901004809959232,7.124494570376784,329.1487479484045,0.49733313112274785,B,-16.60418278760791,34.86551510647535,-3.446520508494532,2398.0815,3002.115,True,False,True,True
LAYANG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\01. JANUARI\20220122 Gangguan CGRLG - MJLYA 1 LAYANG LAYANG\20220122 Gangguan CGRLG - MJLYA 1\20220122_170117_216_r137.cfg,CIGERELENG,1,70.0,DISTANCE,Z1,single_pole,A,SLG,True,True,True,2949.409246444702,2,100.85797,1653.4,917403.3999387634,A,2574.320068359375,A,0.7529080198471891,16.87803696293557,323.5943911240685,0.7067624964620166,A,3.037871017841589,9.482868726545755,18.220402415508996,2398.0815,5003.351,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\01. JANUARI\20220201 Rekaman CGRLG - CNJUR PETIR\20220201 Rekaman CGRLG - CNJUR\GI Cianjur\20220201_160151_230_r184.cfg,CIANJUR,1,150.0,DISTANCE,Z1,single_pole,C,SLG,True,True,True,955.2298784255981,2,99.97606,1678.84,980330.0967136332,C,3515.65966796875,C,1.7228205279552553,13.161725147227434,326.72740041058984,0.5830011093498763,C,0.4791118380286195,16.39572712929173,64.40036735657947,2398.0815,5003.219,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\01. JANUARI\20220201 Rekaman CGRLG - CNJUR PETIR\20220201 Rekaman CGRLG - CNJUR\GI Cianjur\20220201_162324_038_r185.cfg,CIANJUR,1,150.0,DISTANCE,UNKNOWN,three_pole,A+B+C,3PH,False,True,False,,1,0.0,1696.45,100924.57440299893,C,265.1660461425781,C,0.019613086349469476,4.604413257828222,8.04875250722501,0.0001705066002874707,A,-5.187058179634405,475.7040781035377,169.08796454371816,2403.8462,5011.488,False,False,True,False
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\01. JANUARI\20220201 Rekaman CGRLG - CNJUR PETIR\20220201 Rekaman CGRLG - CNJUR\GI Cigereleng\20220201_145718_705_r013_MANUAL__CGRLG_CNJUR1_Distance.cfg,GI CIGERELENG,1,150.0,DISTANCE,UNKNOWN,single_pole,C,SLG,True,False,,,1,79.96803,487.3,1264152.208966761,C,4556.90673828125,C,0.6056088087223137,6.505190997913364,324.0718057473196,0.15467446377443245,C,0.3640340081429256,25.627287753303047,69.99677352591411,1200.4802,1518.559,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\02. FEBRUARI\20220201 Rekaman CGRLG - CNJUR PETIR\20220201 Rekaman CGRLG - CNJUR\GI Cianjur\20220201_160151_230_r184.cfg,CIANJUR,1,150.0,DISTANCE,Z1,single_pole,C,SLG,True,True,True,955.2298784255981,2,99.97606,1678.84,980330.0967136332,C,3515.65966796875,C,1.7228205279552553,13.161725147227434,326.72740041058984,0.5830011093498763,C,0.4791118380286195,16.39572712929173,64.40036735657947,2398.0815,5003.219,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\02. FEBRUARI\20220201 Rekaman CGRLG - CNJUR PETIR\20220201 Rekaman CGRLG - CNJUR\GI Cianjur\20220201_162324_038_r185.cfg,CIANJUR,1,150.0,DISTANCE,UNKNOWN,three_pole,A+B+C,3PH,False,True,False,,1,0.0,1696.45,100924.57440299893,C,265.1660461425781,C,0.019613086349469476,4.604413257828222,8.04875250722501,0.0001705066002874707,A,-5.187058179634405,475.7040781035377,169.08796454371816,2403.8462,5011.488,False,False,True,False
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\02. FEBRUARI\20220201 Rekaman CGRLG - CNJUR PETIR\20220201 Rekaman CGRLG - CNJUR\GI Cigereleng\20220201_145718_705_r013_MANUAL__CGRLG_CNJUR1_Distance.cfg,GI CIGERELENG,1,150.0,DISTANCE,UNKNOWN,single_pole,C,SLG,True,False,,,1,79.96803,487.3,1264152.208966761,C,4556.90673828125,C,0.6056088087223137,6.505190997913364,324.0718057473196,0.15467446377443245,C,0.3640340081429256,25.627287753303047,69.99677352591411,1200.4802,1518.559,True,False,True,True
LAYANG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2022\02. FEBRUARI\20220223 Gangguang KRCDG - BDSLN 1 LAYANG LAYANG\20220223 Gangguang KRCDG - BDSLN 1\1\DR\Wednesday 23 February 2022 16.00.47.000.CFG,KRCDG,1,150.0,DISTANCE,UNKNOWN,single_pole,A,SLG,True,False,,,1,580.464,477.88,3009989.2530836277,A,10997.8046875,A,1.3925336936345964,11.112879507409511,313.5457430761586,0.6943295027185946,A,0.5942389961934369,3.469427414674852,59.27956721271449,1199.0408,1500.366,False,False,True,True
